participant,session,age,"female=""1""",faceTesting,race,isFamous,orientation,oldnew,testkeys.keys,testkeys.rt,faceAsking,correctOption,familiarnessKeys.keys
009459,2,24,1,,,,,,,,,,
009459,2,24,1,,,,,,,,,,
009459,2,24,1,images2/image35.png,afrikan,famous,flipped,old,right,3.9069,,,
009459,2,24,1,images2/image1.png,afrikan,famous,flipped,new,left,1.6233,,,
009459,2,24,1,images2/image49.png,afrikan,unknown,flipped,old,right,0.9946,,,
009459,2,24,1,images2/image55.png,afrikan,unknown,flipped,old,right,1.0415,,,
009459,2,24,1,images2/image29.png,caucasian,unknown,normal,new,right,1.0746,,,
009459,2,24,1,images2/image60.png,caucasian,unknown,normal,old,right,0.8953,,,
009459,2,24,1,images2/image40.png,afrikan,famous,normal,old,right,1.115,,,
009459,2,24,1,images2/image38.png,afrikan,famous,normal,old,right,0.6452,,,
009459,2,24,1,images2/image26.jpg,caucasian,unknown,normal,new,left,0.9893,,,
009459,2,24,1,images2/image59.jpg,caucasian,unknown,normal,old,right,0.7512,,,
009459,2,24,1,images2/image56.jpg,afrikan,unknown,normal,old,left,1.6725,,,
009459,2,24,1,images2/image16.png,caucasian,famous,flipped,new,left,1.7242,,,
009459,2,24,1,images2/image58.png,caucasian,unknown,normal,old,left,1.3103,,,
009459,2,24,1,images2/image20.png,afrikan,unknown,flipped,new,left,1.5902,,,
009459,2,24,1,images2/image45.png,caucasian,famous,normal,old,right,0.825,,,
009459,2,24,1,images2/image23.png,afrikan,unknown,flipped,new,left,0.9899,,,
009459,2,24,1,images2/image41.png,caucasian,famous,normal,old,right,1.6173,,,
009459,2,24,1,images2/image47.png,caucasian,famous,flipped,old,right,0.603,,,
009459,2,24,1,images2/image48.jpeg,caucasian,famous,normal,old,left,1.1841,,,
009459,2,24,1,images2/image63.png,caucasian,unknown,flipped,old,left,1.0076,,,
009459,2,24,1,images2/image2.png,afrikan,famous,normal,new,left,1.7914,,,
009459,2,24,1,images2/image14.png,caucasian,famous,flipped,new,left,1.5133,,,
009459,2,24,1,images2/image51.png,afrikan,unknown,normal,old,right,1.0279,,,
009459,2,24,1,images2/image6.png,afrikan,famous,normal,new,left,1.4012,,,
009459,2,24,1,images2/image27.png,caucasian,unknown,flipped,new,left,1.7179,,,
009459,2,24,1,images2/image22.png,afrikan,unknown,normal,new,right,0.7017,,,
009459,2,24,1,images2/image37.png,afrikan,famous,normal,old,right,0.7781,,,
009459,2,24,1,images2/image8.png,afrikan,famous,flipped,new,left,1.1616,,,
009459,2,24,1,images2/image39.png,afrikan,famous,normal,old,right,0.7783,,,
009459,2,24,1,images2/image31.png,caucasian,unknown,flipped,new,left,0.816,,,
009459,2,24,1,images2/image62.jpg,caucasian,unknown,flipped,old,right,0.9469,,,
009459,2,24,1,images2/image17.png,afrikan,unknown,flipped,new,right,1.3813,,,
009459,2,24,1,images2/image57.png,caucasian,unknown,normal,old,left,0.8612,,,
009459,2,24,1,images2/image36.png,afrikan,famous,flipped,old,left,1.0812,,,
009459,2,24,1,images2/image34.png,afrikan,famous,flipped,old,right,1.3742,,,
009459,2,24,1,images2/image10.jpeg,caucasian,famous,normal,new,left,1.6627,,,
009459,2,24,1,images2/image25.jpg,caucasian,unknown,flipped,new,left,0.8326,,,
009459,2,24,1,images2/image52.png,afrikan,unknown,flipped,old,right,1.1975,,,
009459,2,24,1,images2/image32.png,caucasian,unknown,flipped,new,left,1.0279,,,
009459,2,24,1,images2/image42.png,caucasian,famous,flipped,old,right,0.9437,,,
009459,2,24,1,images2/image61.png,caucasian,unknown,flipped,old,left,1.1769,,,
009459,2,24,1,images2/image24.png,afrikan,unknown,normal,new,left,0.9116,,,
009459,2,24,1,images2/image54.png,afrikan,unknown,flipped,old,right,2.2408,,,
009459,2,24,1,images2/image3.png,afrikan,famous,flipped,new,left,0.9321,,,
009459,2,24,1,images2/image50.png,afrikan,unknown,normal,old,left,0.6985,,,
009459,2,24,1,images2/image7.png,afrikan,famous,flipped,new,left,0.956,,,
009459,2,24,1,images2/image12.jpeg,caucasian,famous,flipped,new,left,1.0786,,,
